id,adm,name,class,gender,school,school_id
mock_c255730a_G7A_001,MOCK-C255-G7A-001,"Cornelius Cheruiyot Barasa","Grade 7 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_002,MOCK-C255-G7A-002,"Felix Njeri Mwangi","Grade 7 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_003,MOCK-C255-G7A-003,"Grace Kariuki Mbugua","Grade 7 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_004,MOCK-C255-G7A-004,"Diana Juma Nyokabi","Grade 7 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_005,MOCK-C255-G7A-005,"Winnie Maina Njeri","Grade 7 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_006,MOCK-C255-G7A-006,"Cornelius Wafula Adhiambo","Grade 7 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_007,MOCK-C255-G7A-007,"Nicholas Achieng Simiyu","Grade 7 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_008,MOCK-C255-G7A-008,"Emmanuel Chepkemoi Owino","Grade 7 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_009,MOCK-C255-G7A-009,"Mitchelle Wafula Mutua","Grade 7 A",Female,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_010,MOCK-C255-G7A-010,"Allan Korir Mwangi","Grade 7 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_011,MOCK-C255-G7A-011,"Allan Wafula Kiplagat","Grade 7 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
mock_c255730a_G7A_012,MOCK-C255-G7A-012,"Elvis Korir Korir","Grade 7 A",Male,"Mbita High School",c255730a-066f-496f-9d4e-5a497be26567
